frame_count,yolo_id,track_id,x,y,color,object_type
0,0,1,138,871,blue,Player
0,1,2,1070,783,blue,Player
0,2,3,463,834,blue,Player
0,3,4,2768,1013,blue,Player
0,4,5,1218,881,blue,Player
0,5,6,26,931,blue,Player
0,6,7,1525,801,blue,Player
0,7,8,1285,774,blue,Player
0,8,9,184,806,blue,Player
0,10,11,1767,856,blue,Player
0,11,12,547,754,blue,Player
0,12,13,1227,781,blue,Player
0,13,14,1246,725,blue,Player
0,14,15,1538,748,blue,Player
0,15,16,1530,762,blue,Player
0,16,17,1682,1067,blue,Player
0,17,18,1663,1108,blue,Player
0,9,18,234,870,yellow,Referee
1,0,2,1076,784,blue,Player
1,1,4,2780,1015,blue,Player
1,2,1,146,870,blue,Player
1,3,9,192,805,blue,Player
1,4,11,1775,856,blue,Player
1,5,7,1534,801,blue,Player
1,6,12,554,755,blue,Player
1,7,6,34,933,blue,Player
1,9,5,1226,882,blue,Player
1,10,13,1234,780,blue,Player
1,11,3,469,835,blue,Player
1,12,8,1287,758,blue,Player
1,13,14,1242,728,blue,Player
1,8,14,242,871,yellow,Referee
2,0,2,1076,784,blue,Player
2,1,4,2780,1015,blue,Player
2,2,1,146,870,blue,Player
2,3,9,192,805,blue,Player
2,4,11,1775,856,blue,Player
2,5,7,1534,802,blue,Player
2,6,12,554,755,blue,Player
2,7,6,34,933,blue,Player
2,9,5,1226,882,blue,Player
2,10,13,1234,780,blue,Player
2,11,3,469,835,blue,Player
2,12,8,1287,759,blue,Player
2,13,20,32,872,blue,Player
2,14,21,169,799,blue,Player
2,15,14,1242,727,blue,Player
2,16,19,469,804,blue,Player
2,8,19,242,871,yellow,Referee
3,0,4,2799,1021,blue,Player
3,1,3,482,837,blue,Player
3,2,6,43,933,blue,Player
3,4,2,1083,784,blue,Player
3,5,1,159,875,blue,Player
3,6,5,1236,887,blue,Player
3,7,11,1789,858,blue,Player
3,8,9,201,806,blue,Player
3,9,12,565,758,blue,Player
3,10,7,1543,803,blue,Player
3,11,20,41,867,blue,Player
3,12,13,1246,772,blue,Player
3,13,8,1286,755,blue,Player
3,14,14,1245,737,blue,Player
3,15,21,178,780,blue,Player
3,3,21,250,875,yellow,Referee
4,0,10,249,818,blue,Player
4,1,22,1301,789,blue,Player
5,0,28,542,848,blue,Player
5,1,27,1127,795,blue,Player
5,2,31,215,883,blue,Player
5,3,26,1298,901,blue,Player
5,4,30,1839,1127,blue,Player
5,5,10,252,819,blue,Player
5,6,25,1862,871,blue,Player
5,7,33,622,766,blue,Player
5,8,24,100,930,blue,Player
5,10,29,1612,769,blue,Player
5,11,22,1304,783,blue,Player
5,12,34,1364,790,blue,Player
5,13,36,1358,743,blue,Player
5,9,36,298,884,yellow,Referee
6,0,28,549,849,blue,Player
6,1,30,1853,1128,blue,Player
6,2,26,1305,902,blue,Player
6,3,27,1130,797,blue,Player
6,4,10,257,817,blue,Player
6,5,33,628,766,blue,Player
6,7,24,107,946,blue,Player
6,8,34,1375,791,blue,Player
6,9,31,222,886,blue,Player
6,10,22,1310,787,blue,Player
6,11,29,1619,765,blue,Player
6,6,29,303,883,yellow,Referee
7,0,28,555,851,blue,Player
7,1,26,1311,904,blue,Player
7,2,24,112,948,blue,Player
7,3,27,1136,800,blue,Player
7,4,31,225,885,blue,Player
7,5,34,1382,792,blue,Player
7,6,30,1867,1125,blue,Player
7,7,10,262,816,blue,Player
7,8,33,637,768,blue,Player
7,9,22,1320,785,blue,Player
7,11,29,1614,756,blue,Player
7,10,29,307,886,yellow,Referee
8,0,28,555,851,blue,Player
8,1,26,1311,904,blue,Player
8,2,24,112,948,blue,Player
8,3,27,1136,800,blue,Player
8,4,34,1382,792,blue,Player
8,5,31,225,884,blue,Player
